"sku","went_on_backorder"
2212117,"No"
4906425,"No"
3480372,"No"
3070162,"No"
2188006,"No"
4860090,"No"
3141684,"No"
2985131,"No"
3210201,"No"
3739602,"No"
3461250,"No"
3398087,"No"
3967130,"No"
3991302,"No"
2311961,"No"
3914847,"No"
3460626,"No"
3995622,"No"
3598237,"No"
3478128,"No"
3745498,"No"
3080217,"No"
3268682,"No"
3536586,"No"
4843274,"No"
3238157,"No"
3273322,"No"
3129476,"No"
3160135,"No"
4790833,"No"
3170491,"No"
2972850,"No"
4977704,"No"
3657583,"No"
4787005,"No"
4919151,"No"
3515236,"No"
3221271,"No"
2284497,"No"
3242741,"No"
3938213,"No"
2292601,"No"
3773356,"No"
3489390,"No"
3679680,"No"
3852582,"No"
3418649,"No"
3089475,"No"
3104415,"No"
3235453,"No"
3321558,"No"
2201642,"No"
4817991,"No"
2877924,"No"
4986338,"No"
4786703,"No"
3054322,"No"
3799275,"No"
4745141,"No"
2894523,"No"
2263796,"No"
3434025,"No"
3492196,"No"
4745784,"No"
4763984,"No"
4007769,"No"
4822157,"No"
3491152,"No"
3073151,"No"
3075465,"No"
3746850,"No"
3462105,"No"
3481655,"No"
4961411,"No"
3216728,"No"
3968054,"No"
3996392,"No"
3218568,"No"
3335291,"No"
4835726,"No"
3586290,"No"
3299085,"No"
3950063,"No"
3206287,"No"
2941506,"No"
3698845,"No"
2995877,"No"
3346343,"No"
3984855,"No"
3697709,"No"
3878113,"No"
3735323,"No"
4941697,"No"
3555717,"No"
3007090,"No"
3576919,"No"
4935488,"No"
3222784,"No"
3388761,"No"
2849039,"No"
3982742,"No"
3609415,"No"
2863687,"No"
3462775,"No"
3837901,"No"
3931548,"No"
2927103,"No"
3643786,"No"
3388085,"No"
2206489,"No"
3171279,"No"
3709089,"No"
3818265,"No"
3455148,"No"
2192227,"No"
3751060,"No"
3650695,"No"
3835312,"No"
2195810,"No"
3300556,"No"
2806886,"No"
3448172,"No"
4010772,"No"
3513190,"No"
3249701,"No"
3822633,"No"
4890830,"No"
4916860,"No"
3472477,"No"
3766861,"No"
3799002,"No"
4872942,"No"
3090042,"No"
3897393,"No"
2244946,"No"
3746826,"No"
3109905,"No"
4959530,"No"
3668083,"No"
3483176,"No"
3452955,"No"
3284643,"No"
4764375,"No"
2201975,"No"
4005728,"No"
3041160,"No"
4826437,"No"
3460917,"No"
3791845,"No"
3276055,"No"
3726212,"No"
3397260,"No"
4754220,"No"
3565768,"No"
3168633,"No"
3208832,"No"
4795736,"No"
3170047,"No"
3643451,"No"
2961588,"No"
3381813,"No"
3214135,"No"
3787416,"No"
4817977,"No"
2882167,"No"
3366455,"No"
3977540,"No"
3258455,"No"
3935370,"No"
2957139,"No"
3721492,"No"
2917496,"No"
3531455,"No"
2159153,"No"
2956007,"No"
2273570,"No"
3450761,"No"
2207864,"No"
3555139,"No"
3709303,"No"
2896490,"No"
3941536,"No"
3019338,"No"
2079807,"No"
3476021,"No"
3106237,"No"
4763747,"No"
2992354,"No"
3562830,"No"
4778625,"No"
3460172,"No"
3114401,"No"
3499219,"No"
3822396,"No"
3176298,"No"
4974700,"No"
3205851,"No"
4827692,"No"
3773515,"No"
3254449,"No"
2967249,"No"
3780003,"No"
2147284,"No"
3115203,"No"
4966410,"No"
4780341,"No"
4937130,"No"
3357319,"No"
3407881,"No"
4881125,"No"
2835238,"No"
3562106,"No"
2206461,"No"
2186094,"No"
2125885,"No"
2179159,"No"
2838658,"No"
3225990,"No"
4004665,"No"
2257229,"No"
3406793,"No"
3647849,"No"
3645599,"No"
3310990,"No"
3413146,"No"
2103834,"No"
3841888,"No"
3187345,"No"
2838378,"No"
3043638,"No"
3667524,"No"
4933608,"No"
3082619,"No"
2162785,"No"
3316027,"No"
3046583,"No"
3507883,"No"
3926336,"No"
3833777,"No"
3119283,"No"
2233337,"No"
3220911,"No"
2275692,"No"
3879928,"No"
3788391,"No"
2962562,"No"
3071428,"No"
3018440,"No"
3684640,"No"
3419952,"No"
2262029,"No"
3287420,"No"
2980347,"No"
3132377,"No"
3412660,"No"
3130856,"No"
3033380,"No"
3576097,"No"
3772384,"No"
4786756,"No"
2270235,"No"
3034423,"No"
2922146,"No"
4977848,"No"
4840647,"No"
3279168,"No"
3262120,"No"
3538360,"No"
3924954,"No"
2295570,"No"
3583311,"No"
4767504,"No"
2992073,"No"
2983929,"No"
3318219,"No"
2857674,"No"
2312367,"No"
2307494,"No"
3225306,"No"
3540593,"No"
4768463,"No"
2142342,"No"
4791847,"No"
3682609,"No"
2204549,"No"
2966805,"No"
2923759,"No"
2102462,"No"
3155550,"No"
3429983,"No"
2981856,"No"
3053955,"No"
2996236,"No"
2854609,"No"
2245533,"No"
4793986,"No"
2311745,"No"
3516830,"No"
3506419,"No"
2982555,"No"
3988259,"No"
2259709,"No"
2097747,"No"
4863548,"No"
3286227,"No"
3646643,"No"
3323221,"No"
3241900,"No"
2205364,"No"
3823689,"No"
3119675,"No"
3012441,"No"
3397172,"No"
3579999,"No"
3736125,"No"
4945978,"No"
2156014,"No"
2272048,"No"
3850504,"No"
3537949,"No"
2958315,"No"
3537797,"Yes"
3581118,"No"
4963516,"No"
4775802,"No"
3105216,"No"
4007485,"No"
4983197,"No"
2259517,"No"
3433247,"No"
2141525,"No"
2831950,"No"
3806076,"No"
4932218,"No"
3291935,"No"
3157399,"No"
2093673,"No"
3408095,"No"
3672975,"No"
2929346,"No"
2107287,"No"
4776198,"No"
2256685,"No"
2124574,"No"
2191705,"No"
2965243,"No"
3319407,"No"
2259153,"No"
3004966,"No"
2232280,"No"
3532413,"No"
2923130,"No"
3713722,"No"
3494412,"No"
3935439,"No"
3671181,"No"
3114283,"No"
3288838,"No"
2244416,"No"
3729308,"No"
3704791,"No"
4949897,"No"
3137185,"No"
2936762,"No"
4892196,"No"
3046239,"No"
4796936,"No"
2167162,"No"
3637168,"No"
3022812,"No"
4799755,"No"
3660656,"No"
3945953,"No"
2912253,"No"
2188608,"No"
3387024,"No"
2258584,"No"
3608379,"No"
3094631,"No"
3917214,"No"
3491739,"No"
3490293,"No"
4855676,"No"
2129861,"No"
2828442,"No"
3403022,"No"
3173957,"No"
3090745,"No"
3324495,"No"
3773391,"No"
3978021,"No"
3603077,"No"
3503590,"No"
3019963,"No"
3327102,"No"
4821108,"No"
3223453,"No"
3697872,"No"
3992436,"No"
3345847,"No"
3922630,"No"
4007962,"No"
3959268,"No"
2979040,"No"
3619237,"No"
2146232,"No"
3784499,"No"
2879167,"No"
3891213,"No"
4843092,"No"
4880062,"No"
3449268,"No"
2118841,"No"
3104222,"No"
3530855,"No"
3528085,"No"
3598596,"No"
3974195,"No"
2864528,"No"
2224085,"No"
3947955,"No"
3213525,"No"
3597707,"No"
3865491,"No"
3115875,"No"
3690067,"No"
3902498,"No"
2294915,"No"
3985978,"No"
3512781,"No"
2298365,"No"
4887120,"No"
3104699,"No"
3813510,"No"
3513784,"No"
3257035,"No"
3517515,"No"
3529790,"No"
2194572,"No"
3000413,"No"
3849834,"No"
3824945,"No"
2239293,"No"
3670417,"No"
3388405,"No"
4807091,"No"
3294214,"No"
2095960,"No"
3486246,"No"
4769967,"No"
3836954,"No"
4922586,"No"
3263746,"No"
3751050,"No"
3686490,"No"
4752399,"No"
3525179,"No"
4873001,"No"
3811348,"No"
3284013,"No"
3719495,"No"
3986896,"No"
2168646,"No"
3968828,"No"
3188179,"No"
2966151,"No"
4984230,"No"
3656413,"No"
2169474,"No"
2181890,"No"
3291065,"No"
2303572,"No"
3463571,"No"
3162893,"No"
3494201,"No"
3874361,"No"
4881108,"No"
4003480,"No"
2966267,"No"
2201693,"No"
2182147,"No"
3420483,"No"
4827297,"No"
3835935,"No"
4968150,"No"
3857480,"No"
4770879,"No"
2253913,"No"
3218990,"No"
3995042,"No"
3486926,"No"
2967066,"No"
2275877,"No"
2150164,"No"
3898242,"No"
3833828,"No"
4949055,"No"
3073272,"No"
3747657,"No"
3654097,"No"
3787718,"No"
3530411,"No"
3141604,"No"
4963964,"No"
2933380,"No"
2952038,"No"
2254775,"No"
3414951,"No"
2103999,"No"
2855011,"No"
3076810,"No"
3352565,"No"
2102067,"No"
3776791,"No"
3491863,"No"
2893798,"No"
3622162,"No"
3000325,"No"
3645511,"No"
3624331,"No"
2842544,"No"
3878476,"No"
3000585,"No"
3387698,"No"
3865670,"No"
3280150,"No"
3323751,"No"
3402464,"No"
3660365,"No"
2845821,"No"
2995215,"No"
2893545,"No"
3518469,"No"
3756937,"No"
3264475,"No"
3647775,"No"
3385040,"No"
2298370,"No"
2925939,"No"
3425388,"No"
2286690,"No"
4910520,"No"
2944159,"No"
3706216,"No"
2876658,"No"
4793214,"No"
4911974,"No"
3576151,"No"
3595073,"No"
2968538,"No"
3995047,"No"
3581121,"No"
3574301,"No"
2974787,"No"
3395817,"No"
2159265,"No"
3204940,"No"
3634561,"No"
3542927,"No"
3191453,"No"
2265976,"No"
3488386,"No"
2213379,"No"
3529462,"No"
3963981,"No"
3260902,"No"
3062240,"No"
2914284,"No"
2893107,"No"
3590009,"No"
2284580,"No"
3216484,"No"
3660730,"No"
3211251,"No"
3023520,"No"
3803288,"No"
4917327,"No"
3463947,"No"
3932395,"No"
2870166,"No"
3926964,"No"
2901401,"No"
3834745,"No"
2227731,"No"
3962901,"No"
3406445,"No"
2253944,"No"
2125612,"No"
3394745,"No"
2827366,"No"
2119995,"No"
4903345,"No"
2884859,"No"
4956306,"No"
2995792,"No"
2106366,"No"
4884033,"No"
4792810,"No"
3787382,"No"
4902677,"No"
3756241,"No"
2817776,"No"
2828571,"No"
2804425,"No"
3228315,"No"
3267695,"No"
2899116,"No"
3914750,"No"
3786513,"No"
2822790,"No"
2931981,"No"
3499898,"No"
3167948,"No"
3713697,"No"
3918818,"No"
4922827,"No"
2132068,"No"
3263666,"No"
3118344,"No"
4953353,"No"
3847717,"No"
4880495,"No"
3114468,"No"
3917007,"No"
4877018,"No"
2242335,"No"
3738548,"No"
2210553,"No"
2314707,"No"
3294649,"No"
3613948,"No"
3592751,"No"
3745266,"No"
3704944,"No"
2173257,"No"
3348293,"No"
2197418,"No"
2231961,"No"
2843960,"No"
2144572,"No"
2892669,"No"
3348608,"No"
2877875,"No"
3145278,"No"
3899264,"No"
3336362,"No"
3020731,"No"
3961591,"No"
3430457,"No"
3602308,"No"
4982777,"No"
3464974,"No"
2110622,"No"
3439987,"No"
4804420,"No"
2092584,"No"
3238869,"No"
3460911,"No"
3232798,"No"
4959728,"No"
4809172,"No"
2220399,"No"
3858819,"No"
3808534,"No"
2879331,"No"
4940921,"No"
2977357,"No"
4834387,"No"
2093307,"No"
4974345,"No"
2942002,"No"
3194560,"No"
3787387,"No"
3201215,"No"
2984614,"No"
3618979,"No"
3523810,"No"
3515315,"No"
4871092,"No"
3446374,"No"
4970683,"No"
2999708,"No"
2290048,"No"
2998996,"No"
4957668,"No"
4925533,"No"
4955408,"No"
4934640,"No"
3344721,"No"
4833460,"No"
2896857,"No"
3582343,"No"
2271279,"No"
3786196,"No"
4820788,"No"
3321020,"No"
3892525,"No"
3836591,"No"
3387458,"No"
3575064,"No"
3789226,"No"
3245211,"No"
3025544,"No"
3704752,"No"
3837814,"No"
4876352,"No"
3681747,"No"
2983039,"No"
2846612,"No"
3334893,"No"
3408623,"No"
3364764,"No"
3357985,"No"
3434310,"No"
3287946,"No"
3768159,"No"
3990179,"No"
2998575,"No"
2107298,"No"
2836694,"No"
4896202,"No"
3324654,"No"
3102176,"No"
3202288,"No"
2832123,"No"
3247504,"No"
3093963,"No"
3465710,"No"
3486579,"No"
3599350,"No"
4975221,"No"
3045979,"No"
2222460,"No"
4960168,"No"
4848120,"No"
2962048,"No"
2832022,"No"
3595574,"No"
3207661,"No"
4887637,"No"
2860778,"No"
2973126,"No"
3387137,"No"
3359730,"No"
2843533,"No"
3419316,"No"
3643622,"No"
2184325,"No"
3486282,"No"
2889112,"No"
2967563,"No"
3247885,"No"
3903537,"No"
3551482,"No"
3133982,"No"
3137527,"No"
3370967,"No"
4777812,"No"
3011497,"No"
3717922,"No"
2820942,"No"
2277298,"No"
3218744,"No"
3821643,"No"
3121821,"No"
4883480,"No"
3027242,"No"
2150648,"No"
3429540,"No"
3534768,"No"
4772253,"No"
2829987,"No"
3742603,"No"
2933400,"No"
3083911,"No"
4979432,"No"
2093432,"No"
3384815,"No"
3620381,"No"
4873594,"No"
2849696,"No"
4905056,"No"
3188532,"No"
3768874,"No"
2250293,"No"
4794421,"No"
3045090,"No"
2156681,"No"
4953551,"No"
4820984,"No"
3740693,"No"
4835072,"No"
3047113,"No"
3957132,"No"
3242094,"No"
3920077,"No"
2888512,"No"
4801609,"No"
2937961,"No"
3692184,"No"
3642119,"No"
3392672,"No"
3229209,"No"
3255232,"No"
3350905,"No"
3816993,"No"
4771327,"No"
3054645,"No"
2902759,"No"
2890021,"No"
4749035,"No"
2156003,"No"
3925715,"No"
3411684,"No"
3867344,"No"
2256504,"No"
4922545,"No"
3096539,"No"
3949449,"No"
4748215,"No"
3804742,"No"
4939232,"No"
3546299,"No"
3509314,"No"
4792886,"No"
3188651,"No"
3381228,"No"
3563717,"No"
3340187,"No"
3934142,"No"
3065702,"No"
3188051,"No"
2976808,"No"
3286133,"No"
2145543,"No"
2192492,"No"
3273169,"No"
3241493,"No"
2838255,"No"
3978996,"No"
2107514,"No"
4826918,"No"
2191051,"No"
4952258,"No"
3106351,"No"
4954469,"No"
2928821,"No"
4869758,"No"
3169595,"No"
3685944,"No"
3227462,"No"
3121811,"No"
2911921,"No"
2112843,"No"
2853720,"No"
3881051,"No"
4010262,"No"
4833285,"No"
2303577,"No"
3490792,"No"
3628839,"No"
4761239,"No"
3468850,"No"
3663431,"No"
3535533,"No"
3977236,"No"
3822846,"No"
3719144,"No"
3234539,"No"
3946337,"No"
4933867,"No"
3857716,"No"
2160676,"No"
3506800,"No"
3462279,"No"
4877893,"No"
3311403,"No"
3382221,"No"
2906448,"No"
3366063,"No"
4855615,"No"
3861498,"No"
2937527,"No"
2902983,"No"
4912134,"No"
4751594,"No"
2954971,"No"
4790815,"No"
3270144,"No"
2196821,"No"
2305959,"No"
4926208,"No"
4914641,"No"
3747829,"No"
3207376,"No"
2911284,"No"
4871548,"No"
3826714,"No"
4908634,"No"
4007436,"No"
3080308,"No"
2838130,"No"
3282334,"No"
2230373,"No"
2100228,"No"
3527420,"No"
4813893,"No"
3553283,"No"
3237254,"No"
4873319,"No"
3316989,"No"
3601916,"No"
3121887,"No"
2182180,"No"
3902734,"No"
4758643,"No"
2946516,"No"
4752999,"No"
3772144,"No"
3370154,"No"
2931691,"No"
2995124,"No"
3278098,"No"
3426971,"No"
3747074,"No"
4777594,"No"
2103774,"No"
3938699,"No"
2105720,"No"
3794163,"No"
4916226,"No"
3734639,"No"
2888141,"No"
4778149,"No"
3834758,"No"
3284372,"No"
3958097,"No"
3750700,"No"
3950492,"No"
2925168,"No"
4805078,"No"
2269618,"No"
3648312,"No"
3481526,"No"
4980241,"No"
2108998,"No"
2950919,"No"
2313077,"No"
2967418,"No"
3392199,"No"
3305278,"No"
2836695,"No"
2843667,"No"
2925595,"No"
3843321,"No"
3066238,"No"
2126077,"No"
3995322,"No"
2843389,"No"
3541458,"No"
3621746,"No"
4787832,"No"
3434577,"No"
3159566,"No"
3487659,"No"
3592623,"No"
3213743,"No"
2156850,"No"
3573488,"No"
4936356,"No"
3266080,"No"
4965232,"No"
2311923,"No"
4804442,"No"
2079936,"No"
4885502,"No"
2952900,"No"
4957789,"No"
2996257,"No"
3560339,"No"
2197131,"No"
3829539,"No"
4841711,"No"
3166775,"No"
3114374,"No"
3016551,"No"
2854042,"No"
2313200,"No"
3269526,"No"
3752580,"No"
3647264,"No"
3574935,"No"
3868884,"No"
3321816,"No"
3934594,"No"
3584195,"No"
3267106,"No"
3240057,"No"
2141399,"No"
3416140,"No"
2080660,"No"
3339693,"No"
3639345,"No"
3162493,"No"
3270304,"No"
3818449,"No"
3913965,"No"
3035619,"No"
4844307,"No"
3862523,"No"
2883679,"No"
2972319,"No"
2127637,"No"
3135232,"No"
4910580,"No"
2993103,"No"
3356711,"No"
2857424,"No"
2818476,"No"
3180388,"No"
2074896,"No"
3351716,"No"
3889002,"No"
3552330,"No"
3904137,"No"
4764026,"No"
2113901,"No"
3320493,"No"
3126421,"No"
4878339,"No"
3658630,"No"
3864345,"No"
3864971,"No"
3386387,"No"
3063803,"No"
2941366,"No"
3389673,"No"
3144425,"No"
4855035,"No"
2975809,"No"
4810491,"No"
3424265,"No"
4890829,"No"
2258065,"No"
3907299,"No"
2306430,"No"
4007925,"No"
4882610,"No"
4010130,"No"
3643176,"No"
3193705,"No"
3494386,"No"
3231910,"No"
4773987,"No"
2128737,"No"
2211853,"No"
3902145,"No"
3714912,"No"
2945214,"No"
3481517,"No"
2100225,"No"
3748231,"No"
4845456,"No"
3502690,"No"
3711337,"No"
3999059,"No"
3470565,"No"
3731404,"No"
2996551,"No"
3666197,"No"
3665027,"No"
3064824,"No"
3132534,"No"
3200502,"No"
2820049,"No"
3486766,"No"
2916180,"No"
3221225,"No"
3626862,"No"
3783113,"No"
2111643,"No"
2926980,"No"
3821016,"No"
3231138,"No"
2957727,"No"
2107320,"No"
3153021,"No"
4867179,"No"
3971376,"No"
2938342,"No"
2142233,"No"
2146168,"No"
4954213,"No"
2228820,"No"
3136395,"No"
3286919,"No"
3656289,"No"
2086649,"No"
3685732,"No"
3807435,"No"
3908416,"No"
2928894,"No"
3745507,"No"
3953143,"No"
3279091,"No"
4010478,"No"
3863875,"No"
3715570,"No"
3286107,"No"
2117115,"No"
2970026,"No"
3223486,"No"
2309105,"No"
3379225,"No"
3061061,"No"
4911830,"No"
3381945,"No"
2886310,"No"
3566245,"No"
4947860,"No"
3896890,"No"
3016620,"No"
3955505,"No"
2260512,"No"
3926349,"No"
3265687,"No"
2850209,"No"
3534913,"No"
3636653,"No"
3692084,"No"
2261218,"No"
3847126,"No"
4848093,"No"
4875783,"No"
4888925,"No"
4860402,"No"
2168910,"No"
3544204,"No"
3162798,"No"
2171111,"No"
3760580,"No"
3928133,"No"
3454905,"No"
3105950,"No"
4770754,"No"
3918171,"No"
3509017,"No"
3079328,"No"
2172826,"No"
2901115,"No"
3034151,"No"
3665460,"No"
3641134,"No"
3045794,"No"
3107836,"No"
4911770,"No"
3295154,"No"
3887250,"No"
4970361,"No"
4812529,"No"
3879499,"No"
2297983,"No"
2996633,"No"
3947802,"No"
3764476,"No"
3317388,"No"
3627195,"No"
3279961,"No"
3448315,"No"
4946439,"No"
3269337,"No"
3503960,"No"
3901585,"No"
3769938,"No"
2311405,"No"
3748240,"No"
3932451,"No"
2190065,"No"
3611166,"No"
4776969,"No"
3745097,"No"
3342711,"No"
3910636,"No"
3078334,"No"
3437253,"No"
2245390,"No"
3554271,"No"
3844629,"No"
4882912,"No"
3799828,"No"
2079246,"No"
2869884,"No"
3660926,"No"
4934403,"No"
4943047,"No"
4980357,"No"
3892016,"No"
3364422,"No"
3728718,"No"
2231253,"No"
4966893,"No"
3465418,"No"
3141147,"No"
4801715,"No"
3138977,"No"
2983553,"No"
2205453,"No"
3214339,"No"
2191053,"No"
3857348,"No"
3496371,"No"
2887388,"No"
3521503,"No"
3887123,"No"
2835282,"No"
2119711,"No"
4895841,"No"
3534043,"No"
3787538,"No"
3560565,"No"
3801542,"No"
2902665,"No"
4848799,"No"
4792815,"No"
4952745,"No"
3587535,"No"
2914011,"No"
4841767,"No"
2187457,"No"
2166752,"No"
3542930,"No"
3636402,"No"
2913985,"No"
2981196,"No"
4961536,"No"
3593510,"No"
2817614,"No"
3350047,"No"
3034688,"No"
2171316,"No"
3115729,"No"
3384885,"No"
2255535,"No"
3683774,"No"
3452978,"No"
3311107,"No"
3526144,"No"
3770902,"No"
3257186,"No"
2187877,"No"
3170827,"No"
3234788,"No"
3979740,"No"
3790001,"No"
4978472,"No"
3522345,"No"
2879187,"No"
2097528,"No"
3683160,"No"
3866780,"No"
2827267,"No"
3168689,"No"
4925707,"No"
3558324,"No"
3784411,"No"
3339722,"No"
2312823,"No"
4822125,"No"
2202417,"No"
3148947,"No"
3724106,"No"
3465729,"No"
3383975,"No"
2816316,"No"
2814131,"No"
2156254,"No"
4955597,"No"
3424230,"No"
2866734,"No"
4903116,"No"
3937830,"No"
4009920,"No"
4843104,"No"
3459574,"No"
2857351,"No"
3161940,"No"
2804663,"No"
4004057,"No"
3751586,"No"
2171857,"No"
3567291,"No"
3419978,"No"
4914929,"No"
3703473,"No"
2872978,"No"
3822466,"No"
2304557,"No"
2241918,"No"
3490453,"No"
2843512,"No"
4980319,"No"
3893427,"No"
4972386,"No"
3089460,"No"
4748769,"No"
3436323,"No"
3252831,"No"
2270336,"No"
2810857,"No"
3008330,"No"
2956464,"No"
3403737,"No"
3733346,"No"
3946909,"No"
3382294,"No"
2135210,"No"
4958543,"No"
3817227,"No"
2156452,"No"
2092369,"No"
3072081,"No"
2880331,"No"
3581866,"No"
4966846,"No"
2193400,"No"
2945490,"No"
4863255,"No"
3092850,"No"
3725680,"No"
2211130,"No"
3761022,"No"
2153947,"No"
4819975,"No"
2119134,"No"
3884872,"No"
2084028,"No"
2277732,"No"
3618845,"No"
3311358,"No"
2246575,"No"
3883450,"No"
2849150,"No"
4821737,"No"
3062460,"No"
3050779,"No"
3935052,"No"
3651335,"No"
3972262,"No"
4782326,"No"
3207960,"No"
2815696,"No"
2286247,"No"
3914781,"No"
3963464,"No"
3937800,"No"
2166298,"No"
3491013,"No"
3589982,"No"
3475374,"No"
3157706,"No"
4893544,"No"
3047060,"No"
2826722,"No"
3202215,"No"
2293070,"No"
4981999,"No"
3363275,"No"
3623822,"No"
3452315,"No"
2868354,"No"
3325754,"No"
3673978,"No"
3002450,"No"
4767412,"No"
3762812,"No"
3349828,"No"
2956787,"No"
4853125,"No"
2911001,"No"
3300217,"No"
3697940,"No"
2164265,"No"
4960340,"No"
3958497,"No"
2230754,"No"
4848186,"No"
4789242,"No"
3715259,"No"
3385423,"No"
3111483,"No"
4810746,"No"
3008041,"No"
4814385,"No"
3823402,"No"
2838540,"No"
2116121,"No"
2853845,"No"
3665196,"No"
4887991,"No"
2825148,"No"
4924884,"No"
2264785,"No"
3716860,"No"
3622681,"No"
2810384,"No"
3019464,"No"
3775265,"No"
3741516,"No"
4819598,"No"
2969883,"No"
2204746,"No"
3785958,"No"
4803975,"No"
3689209,"No"
2936036,"No"
2225045,"No"
3416270,"No"
3327810,"No"
3452025,"No"
3732089,"No"
3542127,"No"
2997360,"No"
3183243,"No"
4974938,"No"
4770047,"No"
3831565,"No"
3227602,"No"
4934365,"No"
3527565,"No"
2184344,"No"
3860661,"No"
2293965,"No"
3991577,"No"
3518828,"No"
3817281,"No"
3705025,"No"
3418005,"No"
2233873,"No"
3469272,"No"
3003865,"No"
2900561,"No"
3036529,"No"
2964605,"No"
3794966,"No"
3711363,"No"
3482299,"No"
3719051,"No"
3449640,"No"
2884968,"No"
3842864,"No"
3794666,"No"
4979289,"No"
2202304,"No"
4778238,"No"
3048608,"No"
3677590,"No"
4797798,"No"
2983515,"No"
3243364,"No"
3521484,"No"
3298022,"No"
3657186,"No"
3553133,"No"
2273044,"No"
4799638,"No"
3453001,"No"
2183784,"No"
3458272,"No"
3752131,"No"
2964907,"No"
3463535,"No"
2805356,"No"
3256392,"No"
3383680,"No"
2078997,"No"
3710226,"No"
2936387,"No"
3969809,"No"
3007114,"No"
4785966,"No"
3144975,"No"
3315488,"No"
3283233,"No"
4817223,"No"
3107783,"No"
3128849,"No"
3009599,"No"
3734195,"No"
3072758,"No"
2274923,"No"
2981178,"No"
3422688,"No"
2113189,"No"
2940789,"No"
3207522,"No"
3472962,"No"
3286155,"No"
4802508,"No"
2868492,"No"
2820474,"No"
3892503,"No"
2079277,"No"
3166258,"No"
2234019,"No"
3362120,"No"
3813300,"No"
3584101,"No"
3275546,"No"
2172576,"No"
3712057,"No"
2954388,"No"
3772314,"No"
3905267,"No"
2210634,"No"
3703423,"No"
3471602,"No"
2093952,"No"
2939894,"No"
3772999,"No"
3910113,"No"
3002434,"No"
2091982,"No"
3483920,"No"
3361424,"No"
2974153,"No"
4796566,"No"
3860861,"No"
3948738,"No"
2079002,"No"
2254935,"No"
3379419,"No"
3447073,"No"
3755922,"No"
3759422,"No"
4846370,"No"
3079861,"No"
3529586,"No"
3190222,"No"
4866673,"No"
2252098,"No"
3704773,"No"
3131296,"No"
3859076,"No"
2150420,"No"
2178727,"No"
3229541,"No"
3122090,"No"
3527210,"No"
4897832,"No"
3177209,"No"
2897607,"No"
3783061,"No"
2819974,"No"
3582932,"No"
4893911,"No"
3832071,"No"
3807316,"No"
4006308,"No"
3370989,"No"
2931171,"No"
4803294,"No"
3766579,"No"
2123192,"No"
3750141,"No"
3684162,"No"
3430769,"No"
3510196,"No"
4835119,"No"
3319007,"No"
3790458,"No"
4790437,"No"
4939104,"No"
3894169,"No"
4814768,"No"
3312870,"No"
3127467,"No"
4796522,"No"
3657094,"No"
2089445,"No"
3552551,"No"
3748304,"No"
3463785,"No"
3343423,"No"
3202795,"No"
2815939,"No"
4885415,"No"
3750805,"No"
4829196,"No"
4810296,"No"
2176034,"No"
3068792,"No"
2267939,"No"
