,sku,went_on_backorder
387,3082619,No
388,2162785,No
389,3316027,No
390,3046583,No
391,3507883,No
392,3926336,No
393,3833777,No
394,3119283,No
395,2233337,No
396,3220911,No
397,2275692,No
398,3879928,No
399,3788391,Yes
400,2962562,No
401,3071428,No
402,3018440,No
403,3684640,No
404,3419952,Yes
405,2262029,No
406,3287420,No
407,2980347,Yes
408,3132377,No
409,3412660,Yes
410,3130856,Yes
411,3033380,No
412,3576097,No
413,3772384,Yes
414,4786756,No
415,2270235,No
416,3034423,No
417,2922146,No
418,4977848,No
419,4840647,No
420,3279168,No
421,3262120,No
422,3538360,No
423,3924954,No
424,2295570,No
425,3583311,No
426,4767504,No
427,2992073,No
428,2983929,No
429,3318219,No
430,2857674,No
431,2312367,No
432,2307494,No
433,3225306,No
434,3540593,No
435,4768463,No
436,2142342,No
437,4791847,No
438,3682609,No
439,2204549,No
440,2966805,No
441,2923759,No
442,2102462,No
443,3155550,No
444,3429983,No
445,2981856,Yes
446,3053955,No
447,2996236,Yes
448,2854609,No
449,2245533,No
450,4793986,No
451,2311745,No
452,3516830,No
453,3506419,No
454,2982555,No
455,3988259,No
456,2259709,No
457,2097747,No
458,4863548,No
459,3286227,No
460,3646643,No
461,3323221,No
462,3241900,No
463,2205364,No
464,3823689,No
465,3119675,No
466,3012441,No
467,3397172,Yes
468,3579999,No
469,3736125,No
470,4945978,No
471,2156014,No
472,2272048,No
473,3850504,No
474,3537949,No
475,2958315,No
476,3537797,No
477,3581118,No
478,4963516,No
479,4775802,No
480,3105216,No
481,4007485,No
482,4983197,No
483,2259517,No
484,3433247,No
485,2141525,No
486,2831950,No
487,3806076,No
488,4932218,No
489,3291935,No
490,3157399,Yes
491,2093673,No
492,3408095,No
493,3672975,No
494,2929346,No
495,2107287,Yes
496,4776198,No
497,2256685,No
498,2124574,No
499,2191705,No
500,2965243,No
501,3319407,No
502,2259153,Yes
503,3004966,No
504,2232280,No
505,3532413,No
506,2923130,No
507,3713722,No
508,3494412,No
509,3935439,No
510,3671181,No
511,3114283,No
512,3288838,No
513,2244416,No
514,3729308,No
515,3704791,No
516,4949897,No
517,3137185,No
518,2936762,No
519,4892196,No
520,3046239,Yes
521,4796936,No
522,2167162,No
523,3637168,No
524,3022812,No
525,4799755,No
526,3660656,Yes
527,3945953,No
528,2912253,No
529,2188608,No
530,3387024,No
531,2258584,No
532,3608379,No
533,3094631,Yes
534,3917214,No
535,3491739,No
536,3490293,No
537,4855676,No
538,2129861,Yes
539,2828442,Yes
540,3403022,No
541,3173957,No
542,3090745,No
543,3324495,No
544,3773391,No
545,3978021,No
546,3603077,No
547,3503590,Yes
548,3019963,No
549,3327102,No
550,4821108,No
551,3223453,Yes
552,3697872,No
553,3992436,Yes
554,3345847,No
555,3922630,No
556,4007962,Yes
557,3959268,No
558,2979040,No
559,3619237,No
560,2146232,No
561,3784499,No
562,2879167,No
563,3891213,Yes
564,4843092,No
565,4880062,No
566,3449268,No
567,2118841,No
568,3104222,No
569,3530855,No
570,3528085,No
571,3598596,No
572,3974195,No
573,2864528,No
574,2224085,No
575,3947955,No
576,3213525,No
577,3597707,No
578,3865491,No
579,3115875,No
580,3690067,No
581,3902498,No
582,2294915,No
583,3985978,No
584,3512781,No
585,2298365,No
586,4887120,No
587,3104699,No
588,3813510,No
589,3513784,No
590,3257035,No
591,3517515,Yes
592,3529790,No
593,2194572,No
594,3000413,No
595,3849834,No
596,3824945,Yes
597,2239293,No
598,3670417,No
599,3388405,No
600,4807091,No
601,3294214,No
602,2095960,No
603,3486246,Yes
604,4769967,No
605,3836954,Yes
606,4922586,No
607,3263746,No
608,3751050,No
609,3686490,No
610,4752399,No
611,3525179,Yes
612,4873001,No
613,3811348,No
614,3284013,No
615,3719495,No
616,3986896,No
617,2168646,No
618,3968828,No
619,3188179,No
620,2966151,No
621,4984230,No
622,3656413,No
623,2169474,No
624,2181890,No
625,3291065,Yes
626,2303572,No
627,3463571,No
628,3162893,No
629,3494201,No
630,3874361,Yes
631,4881108,Yes
632,4003480,No
633,2966267,No
634,2201693,No
635,2182147,Yes
636,3420483,No
637,4827297,Yes
638,3835935,No
639,4968150,No
640,3857480,No
641,4770879,No
642,2253913,Yes
643,3218990,No
644,3995042,No
645,3486926,No
646,2967066,No
647,2275877,No
648,2150164,No
649,3898242,No
650,3833828,Yes
651,4949055,No
652,3073272,No
653,3747657,No
654,3654097,Yes
655,3787718,No
656,3530411,No
657,3141604,No
658,4963964,No
659,2933380,No
660,2952038,Yes
661,2254775,No
662,3414951,Yes
663,2103999,No
664,2855011,Yes
665,3076810,No
666,3352565,Yes
667,2102067,No
668,3776791,No
669,3491863,No
670,2893798,No
671,3622162,No
672,3000325,No
673,3645511,No
674,3624331,Yes
675,2842544,No
676,3878476,No
677,3000585,No
678,3387698,No
679,3865670,No
680,3280150,No
681,3323751,No
682,3402464,Yes
683,3660365,No
684,2845821,No
685,2995215,No
686,2893545,Yes
687,3518469,No
688,3756937,No
689,3264475,No
690,3647775,No
691,3385040,Yes
692,2298370,No
693,2925939,Yes
694,3425388,No
695,2286690,No
696,4910520,No
697,2944159,Yes
698,3706216,No
699,2876658,No
700,4793214,Yes
701,4911974,No
702,3576151,No
703,3595073,No
704,2968538,Yes
705,3995047,No
706,3581121,No
707,3574301,No
708,2974787,No
709,3395817,Yes
710,2159265,No
711,3204940,No
712,3634561,No
713,3542927,Yes
714,3191453,No
715,2265976,Yes
716,3488386,No
717,2213379,No
718,3529462,No
719,3963981,No
720,3260902,No
721,3062240,No
722,2914284,No
723,2893107,No
724,3590009,No
725,2284580,No
726,3216484,Yes
727,3660730,No
728,3211251,Yes
729,3023520,Yes
730,3803288,No
731,4917327,No
732,3463947,Yes
733,3932395,Yes
734,2870166,No
735,3926964,No
736,2901401,No
737,3834745,No
738,2227731,No
739,3962901,No
740,3406445,No
741,2253944,Yes
742,2125612,No
743,3394745,No
744,2827366,No
745,2119995,No
746,4903345,Yes
747,2884859,No
748,4956306,Yes
749,2995792,No
750,2106366,No
751,4884033,No
752,4792810,No
753,3787382,No
754,4902677,No
755,3756241,No
756,2817776,No
757,2828571,No
758,2804425,No
759,3228315,Yes
760,3267695,Yes
761,2899116,Yes
762,3914750,No
763,3786513,No
764,2822790,No
765,2931981,No
766,3499898,No
767,3167948,Yes
768,3713697,No
769,3918818,No
770,4922827,No
771,2132068,No
772,3263666,No
773,3118344,No
774,4953353,No
775,3847717,No
776,4880495,No
777,3114468,No
778,3917007,No
779,4877018,No
780,2242335,No
781,3738548,No
782,2210553,No
783,2314707,No
784,3294649,No
785,3613948,No
786,3592751,No
787,3745266,No
788,3704944,No
789,2173257,No
790,3348293,No
791,2197418,No
792,2231961,No
793,2843960,No
794,2144572,No
795,2892669,No
796,3348608,No
797,2877875,No
798,3145278,No
799,3899264,No
800,3336362,No
801,3020731,No
802,3961591,No
803,3430457,No
804,3602308,No
805,4982777,No
806,3464974,No
807,2110622,Yes
808,3439987,No
809,4804420,Yes
810,2092584,No
811,3238869,No
812,3460911,No
813,3232798,No
814,4959728,No
815,4809172,No
816,2220399,Yes
817,3858819,No
818,3808534,No
819,2879331,No
820,4940921,No
821,2977357,No
822,4834387,No
823,2093307,No
824,4974345,No
825,2942002,No
826,3194560,No
827,3787387,No
828,3201215,No
829,2984614,No
830,3618979,No
831,3523810,No
832,3515315,No
833,4871092,No
834,3446374,No
835,4970683,No
836,2999708,No
837,2290048,No
838,2998996,No
839,4957668,No
840,4925533,No
841,4955408,No
842,4934640,No
843,3344721,No
844,4833460,No
845,2896857,No
846,3582343,No
847,2271279,No
848,3786196,No
849,4820788,No
850,3321020,No
851,3892525,No
852,3836591,No
853,3387458,No
854,3575064,No
855,3789226,No
856,3245211,No
857,3025544,No
858,3704752,No
859,3837814,No
860,4876352,No
861,3681747,No
862,2983039,No
863,2846612,No
864,3334893,No
865,3408623,No
866,3364764,No
867,3357985,No
868,3434310,No
869,3287946,No
870,3768159,No
871,3990179,No
872,2998575,No
873,2107298,No
874,2836694,No
875,4896202,No
876,3324654,No
877,3102176,No
878,3202288,No
879,2832123,No
880,3247504,No
881,3093963,No
882,3465710,No
883,3486579,No
884,3599350,No
885,4975221,No
886,3045979,No
887,2222460,Yes
888,4960168,No
889,4848120,No
890,2962048,No
891,2832022,No
892,3595574,No
893,3207661,No
894,4887637,No
895,2860778,No
896,2973126,No
897,3387137,No
898,3359730,No
899,2843533,No
900,3419316,No
901,3643622,Yes
902,2184325,No
903,3486282,No
904,2889112,No
905,2967563,No
906,3247885,No
907,3903537,No
908,3551482,No
909,3133982,No
910,3137527,No
911,3370967,No
912,4777812,No
913,3011497,No
914,3717922,No
915,2820942,No
916,2277298,No
917,3218744,No
918,3821643,No
919,3121821,No
920,4883480,No
921,3027242,No
922,2150648,No
923,3429540,No
924,3534768,No
925,4772253,No
926,2829987,No
927,3742603,No
928,2933400,No
929,3083911,No
930,4979432,No
931,2093432,No
932,3384815,No
933,3620381,No
934,4873594,No
935,2849696,No
936,4905056,No
937,3188532,No
938,3768874,No
939,2250293,No
940,4794421,No
941,3045090,No
942,2156681,No
943,4953551,No
944,4820984,No
945,3740693,No
946,4835072,No
947,3047113,No
948,3957132,No
949,3242094,No
950,3920077,No
951,2888512,No
952,4801609,No
953,2937961,No
954,3692184,No
955,3642119,No
956,3392672,No
957,3229209,No
958,3255232,No
959,3350905,No
960,3816993,No
961,4771327,No
962,3054645,No
963,2902759,No
964,2890021,No
965,4749035,No
966,2156003,No
967,3925715,No
968,3411684,No
969,3867344,No
970,2256504,No
971,4922545,No
972,3096539,No
973,3949449,No
974,4748215,No
975,3804742,No
976,4939232,Yes
977,3546299,No
978,3509314,No
979,4792886,No
980,3188651,No
981,3381228,Yes
982,3563717,No
983,3340187,No
984,3934142,No
985,3065702,No
986,3188051,Yes
987,2976808,No
988,3286133,No
989,2145543,No
990,2192492,No
991,3273169,No
992,3241493,Yes
993,2838255,No
994,3978996,No
995,2107514,No
996,4826918,No
997,2191051,No
998,4952258,Yes
999,3106351,No
1000,4954469,No
1001,2928821,No
1002,4869758,No
1003,3169595,No
1004,3685944,No
1005,3227462,No
1006,3121811,No
1007,2911921,No
1008,2112843,No
1009,2853720,No
1010,3881051,No
1011,4010262,Yes
1012,4833285,No
1013,2303577,No
1014,3490792,No
1015,3628839,No
1016,4761239,No
1017,3468850,No
1018,3663431,No
1019,3535533,No
1020,3977236,Yes
1021,3822846,No
1022,3719144,Yes
1023,3234539,No
1024,3946337,No
1025,4933867,Yes
1026,3857716,No
1027,2160676,No
1028,3506800,No
1029,3462279,No
1030,4877893,No
1031,3311403,No
1032,3382221,Yes
1033,2906448,Yes
1034,3366063,No
1035,4855615,Yes
1036,3861498,No
1037,2937527,No
1038,2902983,No
1039,4912134,No
1040,4751594,No
1041,2954971,No
1042,4790815,No
1043,3270144,No
1044,2196821,No
1045,2305959,No
1046,4926208,No
1047,4914641,No
1048,3747829,No
1049,3207376,No
1050,2911284,No
1051,4871548,No
1052,3826714,No
1053,4908634,No
1054,4007436,No
1055,3080308,No
1056,2838130,No
1057,3282334,No
1058,2230373,No
1059,2100228,No
1060,3527420,No
1061,4813893,No
1062,3553283,No
1063,3237254,No
1064,4873319,No
1065,3316989,No
1066,3601916,No
1067,3121887,No
1068,2182180,No
1069,3902734,No
1070,4758643,No
1071,2946516,No
1072,4752999,No
1073,3772144,No
1074,3370154,No
1075,2931691,No
1076,2995124,No
1077,3278098,No
1078,3426971,No
1079,3747074,No
1080,4777594,No
1081,2103774,No
1082,3938699,No
1083,2105720,No
1084,3794163,No
1085,4916226,No
1086,3734639,Yes
1087,2888141,No
1088,4778149,No
1089,3834758,No
1090,3284372,No
1091,3958097,No
1092,3750700,No
1093,3950492,No
1094,2925168,No
1095,4805078,No
1096,2269618,No
1097,3648312,No
1098,3481526,No
1099,4980241,No
1100,2108998,No
1101,2950919,No
1102,2313077,No
1103,2967418,No
1104,3392199,Yes
1105,3305278,No
1106,2836695,No
1107,2843667,No
1108,2925595,Yes
1109,3843321,No
1110,3066238,No
1111,2126077,No
1112,3995322,No
1113,2843389,No
1114,3541458,No
1115,3621746,No
1116,4787832,Yes
1117,3434577,No
1118,3159566,No
1119,3487659,No
1120,3592623,No
1121,3213743,Yes
1122,2156850,No
1123,3573488,No
1124,4936356,No
1125,3266080,No
1126,4965232,No
1127,2311923,No
1128,4804442,Yes
1129,2079936,No
1130,4885502,No
1131,2952900,Yes
1132,4957789,No
1133,2996257,No
1134,3560339,No
1135,2197131,No
1136,3829539,No
1137,4841711,No
1138,3166775,No
1139,3114374,No
1140,3016551,No
1141,2854042,No
1142,2313200,No
1143,3269526,No
1144,3752580,No
1145,3647264,No
1146,3574935,No
1147,3868884,Yes
1148,3321816,No
1149,3934594,No
1150,3584195,Yes
1151,3267106,No
1152,3240057,No
1153,2141399,Yes
1154,3416140,No
1155,2080660,No
1156,3339693,No
1157,3639345,Yes
1158,3162493,No
1159,3270304,No
1160,3818449,No
1161,3913965,No
1162,3035619,No
1163,4844307,No
1164,3862523,No
1165,2883679,No
1166,2972319,No
1167,2127637,No
1168,3135232,Yes
1169,4910580,No
1170,2993103,No
1171,3356711,No
1172,2857424,No
1173,2818476,Yes
1174,3180388,No
1175,2074896,Yes
1176,3351716,No
1177,3889002,No
1178,3552330,No
1179,3904137,No
1180,4764026,No
1181,2113901,No
1182,3320493,No
1183,3126421,No
1184,4878339,No
1185,3658630,No
1186,3864345,No
1187,3864971,No
1188,3386387,No
1189,3063803,No
1190,2941366,Yes
1191,3389673,Yes
1192,3144425,Yes
1193,4855035,No
1194,2975809,No
1195,4810491,No
1196,3424265,No
1197,4890829,No
1198,2258065,No
1199,3907299,No
1200,2306430,No
1201,4007925,No
1202,4882610,Yes
1203,4010130,No
1204,3643176,No
1205,3193705,No
1206,3494386,No
1207,3231910,Yes
1208,4773987,No
1209,2128737,Yes
1210,2211853,Yes
1211,3902145,Yes
1212,3714912,Yes
1213,2945214,Yes
1214,3481517,No
1215,2100225,No
1216,3748231,No
1217,4845456,No
1218,3502690,No
1219,3711337,Yes
1220,3999059,No
1221,3470565,No
1222,3731404,Yes
1223,2996551,No
1224,3666197,Yes
1225,3665027,No
1226,3064824,No
1227,3132534,No
1228,3200502,No
1229,2820049,No
1230,3486766,Yes
1231,2916180,No
1232,3221225,No
1233,3626862,No
1234,3783113,No
1235,2111643,No
1236,2926980,No
1237,3821016,No
1238,3231138,No
1239,2957727,No
1240,2107320,Yes
1241,3153021,No
1242,4867179,No
1243,3971376,No
1244,2938342,No
1245,2142233,No
1246,2146168,No
1247,4954213,No
1248,2228820,No
1249,3136395,No
1250,3286919,Yes
1251,3656289,No
1252,2086649,No
1253,3685732,No
1254,3807435,Yes
1255,3908416,No
1256,2928894,No
1257,3745507,No
1258,3953143,No
1259,3279091,No
1260,4010478,No
1261,3863875,Yes
1262,3715570,No
1263,3286107,Yes
1264,2117115,No
1265,2970026,Yes
1266,3223486,No
1267,2309105,No
1268,3379225,No
1269,3061061,No
1270,4911830,No
1271,3381945,No
1272,2886310,No
1273,3566245,No
1274,4947860,No
1275,3896890,No
1276,3016620,No
1277,3955505,No
1278,2260512,No
1279,3926349,No
1280,3265687,No
1281,2850209,No
1282,3534913,No
1283,3636653,No
1284,3692084,No
1285,2261218,No
1286,3847126,No
1287,4848093,Yes
1288,4875783,No
1289,4888925,No
1290,4860402,No
1291,2168910,No
1292,3544204,No
1293,3162798,No
1294,2171111,No
1295,3760580,Yes
1296,3928133,No
1297,3454905,No
1298,3105950,No
1299,4770754,Yes
1300,3918171,No
1301,3509017,No
1302,3079328,No
1303,2172826,No
1304,2901115,No
1305,3034151,Yes
1306,3665460,Yes
1307,3641134,No
1308,3045794,No
1309,3107836,No
1310,4911770,Yes
1311,3295154,No
1312,3887250,No
1313,4970361,No
1314,4812529,Yes
1315,3879499,No
1316,2297983,No
1317,2996633,No
1318,3947802,No
1319,3764476,Yes
1320,3317388,No
1321,3627195,No
1322,3279961,No
1323,3448315,No
1324,4946439,No
1325,3269337,No
1326,3503960,No
1327,3901585,No
1328,3769938,No
1329,2311405,No
1330,3748240,No
1331,3932451,No
1332,2190065,No
1333,3611166,No
1334,4776969,No
1335,3745097,No
1336,3342711,No
1337,3910636,No
1338,3078334,Yes
1339,3437253,No
1340,2245390,No
1341,3554271,No
1342,3844629,No
1343,4882912,No
1344,3799828,No
1345,2079246,No
1346,2869884,No
1347,3660926,No
1348,4934403,Yes
1349,4943047,Yes
1350,4980357,Yes
1351,3892016,Yes
1352,3364422,No
1353,3728718,Yes
1354,2231253,No
1355,4966893,No
1356,3465418,No
1357,3141147,No
1358,4801715,No
1359,3138977,No
1360,2983553,No
1361,2205453,No
1362,3214339,No
1363,2191053,No
1364,3857348,No
1365,3496371,No
1366,2887388,No
1367,3521503,No
1368,3887123,No
1369,2835282,No
1370,2119711,No
1371,4895841,No
1372,3534043,No
1373,3787538,No
1374,3560565,No
1375,3801542,Yes
1376,2902665,No
1377,4848799,No
1378,4792815,No
1379,4952745,No
1380,3587535,No
1381,2914011,No
1382,4841767,No
1383,2187457,No
1384,2166752,No
1385,3542930,No
1386,3636402,No
1387,2913985,No
1388,2981196,No
1389,4961536,No
1390,3593510,No
1391,2817614,No
1392,3350047,Yes
1393,3034688,Yes
1394,2171316,No
1395,3115729,No
1396,3384885,No
1397,2255535,Yes
1398,3683774,No
1399,3452978,No
1400,3311107,No
1401,3526144,Yes
1402,3770902,No
1403,3257186,No
1404,2187877,No
1405,3170827,No
1406,3234788,Yes
1407,3979740,No
1408,3790001,No
1409,4978472,No
1410,3522345,Yes
1411,2879187,No
1412,2097528,No
1413,3683160,No
1414,3866780,No
1415,2827267,No
1416,3168689,No
1417,4925707,No
1418,3558324,Yes
1419,3784411,No
1420,3339722,No
1421,2312823,Yes
1422,4822125,No
1423,2202417,Yes
1424,3148947,No
1425,3724106,No
1426,3465729,No
1427,3383975,No
1428,2816316,No
1429,2814131,No
1430,2156254,No
1431,4955597,Yes
1432,3424230,Yes
1433,2866734,No
1434,4903116,No
1435,3937830,No
1436,4009920,No
1437,4843104,No
1438,3459574,No
1439,2857351,No
1440,3161940,No
1441,2804663,No
1442,4004057,No
1443,3751586,No
1444,2171857,No
1445,3567291,No
1446,3419978,No
1447,4914929,No
1448,3703473,No
1449,2872978,No
1450,3822466,No
1451,2304557,No
1452,2241918,No
1453,3490453,No
1454,2843512,No
1455,4980319,Yes
1456,3893427,Yes
1457,4972386,No
1458,3089460,No
1459,4748769,No
1460,3436323,No
1461,3252831,No
1462,2270336,No
1463,2810857,No
1464,3008330,Yes
1465,2956464,No
1466,3403737,No
1467,3733346,No
1468,3946909,No
1469,3382294,No
1470,2135210,No
1471,4958543,No
1472,3817227,No
1473,2156452,No
1474,2092369,No
1475,3072081,No
1476,2880331,No
1477,3581866,No
1478,4966846,No
1479,2193400,No
1480,2945490,No
1481,4863255,No
1482,3092850,No
1483,3725680,No
1484,2211130,No
1485,3761022,No
1486,2153947,No
1487,4819975,No
1488,2119134,No
1489,3884872,No
1490,2084028,No
1491,2277732,No
1492,3618845,No
1493,3311358,No
1494,2246575,Yes
1495,3883450,No
1496,2849150,No
1497,4821737,No
1498,3062460,No
1499,3050779,No
1500,3935052,No
1501,3651335,No
1502,3972262,No
1503,4782326,No
1504,3207960,No
1505,2815696,No
1506,2286247,No
1507,3914781,No
1508,3963464,No
1509,3937800,No
1510,2166298,No
1511,3491013,No
1512,3589982,No
1513,3475374,No
1514,3157706,No
1515,4893544,No
1516,3047060,No
1517,2826722,No
1518,3202215,Yes
1519,2293070,No
1520,4981999,No
1521,3363275,No
1522,3623822,Yes
1523,3452315,No
1524,2868354,No
1525,3325754,No
1526,3673978,No
1527,3002450,No
1528,4767412,No
1529,3762812,No
1530,3349828,No
1531,2956787,No
1532,4853125,No
1533,2911001,Yes
1534,3300217,Yes
1535,3697940,No
1536,2164265,No
1537,4960340,No
1538,3958497,No
1539,2230754,No
1540,4848186,No
1541,4789242,No
1542,3715259,No
1543,3385423,No
1544,3111483,No
1545,4810746,No
1546,3008041,No
1547,4814385,Yes
1548,3823402,No
1549,2838540,No
1550,2116121,No
1551,2853845,No
1552,3665196,No
1553,4887991,No
1554,2825148,No
1555,4924884,Yes
1556,2264785,No
1557,3716860,No
1558,3622681,No
1559,2810384,No
1560,3019464,No
1561,3775265,No
1562,3741516,No
1563,4819598,No
1564,2969883,No
1565,2204746,No
1566,3785958,No
1567,4803975,No
1568,3689209,No
1569,2936036,No
1570,2225045,Yes
1571,3416270,No
1572,3327810,No
1573,3452025,No
1574,3732089,No
1575,3542127,No
1576,2997360,No
1577,3183243,Yes
1578,4974938,No
1579,4770047,No
1580,3831565,No
1581,3227602,No
1582,4934365,No
1583,3527565,No
1584,2184344,No
1585,3860661,No
1586,2293965,No
1587,3991577,No
1588,3518828,No
1589,3817281,No
1590,3705025,No
1591,3418005,No
1592,2233873,No
1593,3469272,No
1594,3003865,No
1595,2900561,No
1596,3036529,No
1597,2964605,No
1598,3794966,No
1599,3711363,No
1600,3482299,No
1601,3719051,No
1602,3449640,No
1603,2884968,No
1604,3842864,Yes
1605,3794666,Yes
1606,4979289,No
1607,2202304,No
1608,4778238,No
1609,3048608,No
1610,3677590,Yes
1611,4797798,No
1612,2983515,No
1613,3243364,No
1614,3521484,No
1615,3298022,No
1616,3657186,No
1617,3553133,No
1618,2273044,No
1619,4799638,Yes
1620,3453001,No
